epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,13004.6,0.75644,0.98469,0.44364,0.84709,0.95173,0.92296,0.96355,0.78174,0.87382,0.85162,0.88652,0.57544,0.93414,1.48094,0.50455,0.85318,0.00055188,0.00055188,0.00055188
64,13179.5,0.7655,0.979,0.4456,0.84574,0.96955,0.91227,0.96335,0.77932,0.89928,0.84684,0.90173,0.61323,0.94321,1.55512,0.50841,0.85154,0.000537733,0.000537733,0.000537733
65,13354.6,0.74669,0.97574,0.43615,0.84547,0.91983,0.91642,0.96001,0.77122,0.91502,0.81082,0.88383,0.56947,0.93999,1.63975,0.51311,0.85036,0.000523586,0.000523586,0.000523586
66,13530.1,0.7542,0.97153,0.43552,0.84298,0.97333,0.91321,0.9601,0.76964,0.89227,0.8394,0.88641,0.5698,0.98663,1.62957,0.53111,0.85173,0.000509438,0.000509438,0.000509438
67,13703.1,0.74439,0.94529,0.43276,0.84572,0.97449,0.91065,0.96518,0.78524,0.9075,0.84883,0.89897,0.58014,0.91771,1.58106,0.49646,0.84851,0.000495291,0.000495291,0.000495291
68,13876.5,0.742,0.96171,0.43278,0.84463,0.96912,0.91992,0.96672,0.78658,0.89804,0.8495,0.88899,0.58121,0.91692,1.47924,0.48812,0.84629,0.000481144,0.000481144,0.000481144
69,14054.1,0.7453,0.96535,0.43315,0.84317,0.97031,0.91815,0.96252,0.77981,0.89702,0.85025,0.88832,0.59128,0.92773,1.46457,0.49701,0.84705,0.000466997,0.000466997,0.000466997
70,14229.2,0.74065,0.93856,0.4269,0.84439,0.96736,0.91833,0.96518,0.78328,0.89796,0.84837,0.89176,0.58081,0.90994,1.60437,0.49299,0.84387,0.00045285,0.00045285,0.00045285
71,14405,0.73554,0.95061,0.42571,0.84344,0.95508,0.898,0.96149,0.77477,0.91345,0.81697,0.89233,0.58361,0.97219,1.57025,0.51546,0.85017,0.000438703,0.000438703,0.000438703
72,14580.4,0.73305,0.93924,0.42609,0.84197,0.93802,0.91555,0.965,0.78534,0.87994,0.83614,0.89153,0.57993,0.93689,1.60456,0.49775,0.84535,0.000424556,0.000424556,0.000424556
73,14753.9,0.71783,0.91141,0.41805,0.84119,0.98743,0.90029,0.96511,0.78064,0.90904,0.83214,0.88973,0.58509,0.96462,1.67142,0.49903,0.84991,0.000410409,0.000410409,0.000410409
74,14927.5,0.73269,0.96536,0.42484,0.84194,0.9744,0.89727,0.96488,0.78921,0.89602,0.82647,0.88812,0.57074,0.91555,1.57412,0.4922,0.84771,0.000396262,0.000396262,0.000396262
75,15106.4,0.7247,0.94532,0.42007,0.84206,0.97267,0.91711,0.96511,0.78386,0.89828,0.85224,0.89681,0.58442,0.94708,1.5121,0.49909,0.84791,0.000382115,0.000382115,0.000382115
76,15280,0.72392,0.91784,0.41875,0.84243,0.94434,0.93268,0.97053,0.79412,0.89866,0.82574,0.88293,0.5684,0.91848,1.63768,0.48542,0.84075,0.000367967,0.000367967,0.000367967
77,15454,0.72206,0.92545,0.41758,0.84236,0.96062,0.92747,0.96844,0.793,0.87509,0.84304,0.87732,0.56309,0.93528,1.66228,0.49099,0.84454,0.00035382,0.00035382,0.00035382
78,15630.6,0.71819,0.91372,0.41371,0.84001,0.97044,0.92672,0.96712,0.79529,0.89012,0.85894,0.89648,0.59498,0.91744,1.62003,0.48297,0.84587,0.000339673,0.000339673,0.000339673
79,15801.6,0.70985,0.91614,0.40965,0.84032,0.94603,0.92802,0.96602,0.79799,0.8643,0.8566,0.88556,0.5782,0.88304,1.60788,0.46905,0.84375,0.000325526,0.000325526,0.000325526
80,15971,0.70908,0.91151,0.40924,0.83911,0.96469,0.923,0.96472,0.79843,0.88287,0.84969,0.8881,0.57744,0.89151,1.66876,0.47474,0.84097,0.000311379,0.000311379,0.000311379
81,16142.3,0.70937,0.91561,0.40967,0.83763,0.96651,0.91444,0.96285,0.78818,0.90616,0.84155,0.89384,0.59517,0.92104,1.57031,0.47942,0.84326,0.000297232,0.000297232,0.000297232
82,16314.5,0.70865,0.91417,0.41014,0.83885,0.97091,0.91336,0.96303,0.79346,0.89928,0.85103,0.89676,0.60077,0.92045,1.54276,0.47993,0.84255,0.000283085,0.000283085,0.000283085
83,16487.7,0.70906,0.92617,0.40964,0.83809,0.95648,0.90603,0.9614,0.78921,0.88488,0.84044,0.88473,0.57949,0.90697,1.58799,0.48948,0.84102,0.000268938,0.000268938,0.000268938
84,16661.6,0.71147,0.92853,0.4085,0.83877,0.96684,0.91642,0.96461,0.79575,0.89338,0.84803,0.88812,0.58346,0.88919,1.54672,0.48199,0.83919,0.000254791,0.000254791,0.000254791
85,16833.4,0.69634,0.89894,0.40426,0.8346,0.94076,0.92026,0.96635,0.79835,0.88244,0.82393,0.87902,0.57917,0.8782,1.57805,0.47295,0.84003,0.000240644,0.000240644,0.000240644
86,17004.8,0.70911,0.92519,0.40817,0.83507,0.95112,0.92217,0.96775,0.8007,0.88398,0.84559,0.89708,0.59971,0.88965,1.5443,0.47149,0.83896,0.000226497,0.000226497,0.000226497
87,17175.8,0.69894,0.91518,0.40339,0.83498,0.93639,0.93874,0.96715,0.79215,0.88102,0.83545,0.8846,0.58975,0.9088,1.5564,0.47846,0.84236,0.000212349,0.000212349,0.000212349
88,17345.4,0.68926,0.88563,0.39771,0.83505,0.96584,0.9185,0.96616,0.79567,0.87868,0.84664,0.89016,0.59174,0.91072,1.57692,0.47766,0.84302,0.000198202,0.000198202,0.000198202
89,17515.8,0.68499,0.88811,0.39389,0.83746,0.95928,0.92324,0.96808,0.80154,0.87939,0.83947,0.88828,0.58011,0.88659,1.59052,0.47474,0.84182,0.000184055,0.000184055,0.000184055
90,17686.6,0.69329,0.89682,0.39651,0.83442,0.96595,0.91607,0.96603,0.80559,0.89397,0.83899,0.8915,0.59247,0.89842,1.54882,0.47134,0.841,0.000169908,0.000169908,0.000169908
91,17772.2,0.66673,0.84364,0.39343,0.8366,0.97058,0.91463,0.96175,0.79392,0.89359,0.84304,0.88876,0.58526,0.91364,1.64918,0.47311,0.84332,0.000155761,0.000155761,0.000155761
92,17849.9,0.67098,0.85184,0.39368,0.83728,0.9512,0.92928,0.96737,0.80043,0.88582,0.84011,0.88673,0.58827,0.8987,1.59802,0.47128,0.84018,0.000141614,0.000141614,0.000141614
93,17929,0.65654,0.83176,0.38791,0.83607,0.98003,0.9112,0.96732,0.80357,0.9026,0.8374,0.88861,0.59003,0.90553,1.67033,0.46919,0.84259,0.000127467,0.000127467,0.000127467
94,18006.8,0.65582,0.81974,0.38495,0.83435,0.97699,0.90965,0.96599,0.80549,0.89662,0.83231,0.88467,0.58532,0.89323,1.63785,0.4649,0.84023,0.00011332,0.00011332,0.00011332
95,18084.9,0.65128,0.8247,0.38303,0.83344,0.97409,0.91396,0.96756,0.80091,0.89865,0.84066,0.89511,0.59343,0.90482,1.6305,0.46735,0.84305,9.91726e-05,9.91726e-05,9.91726e-05
96,18163.5,0.64917,0.82474,0.38087,0.83342,0.9602,0.92446,0.96781,0.80469,0.8971,0.83828,0.89213,0.59294,0.89394,1.57493,0.46142,0.84246,8.50255e-05,8.50255e-05,8.50255e-05
97,18241,0.64446,0.82069,0.37807,0.83083,0.9719,0.91022,0.96805,0.80341,0.89415,0.83903,0.89177,0.59053,0.89137,1.61193,0.46264,0.84126,7.08784e-05,7.08784e-05,7.08784e-05
98,18319,0.64053,0.81494,0.37857,0.83034,0.97142,0.9136,0.96754,0.80401,0.89724,0.83891,0.89048,0.58993,0.8879,1.62451,0.46381,0.84039,5.67313e-05,5.67313e-05,5.67313e-05
99,18396.3,0.63943,0.81609,0.37677,0.83103,0.96579,0.91978,0.96696,0.80594,0.89371,0.83963,0.88865,0.59216,0.88984,1.58602,0.46041,0.84189,4.25842e-05,4.25842e-05,4.25842e-05
100,18473.4,0.63583,0.80715,0.37376,0.83278,0.94787,0.93545,0.96726,0.80542,0.88466,0.84153,0.88543,0.58587,0.88829,1.64258,0.46115,0.84074,2.84371e-05,2.84371e-05,2.84371e-05
